"id","status","segments","name"
"c2","created","C2","C2 dermatome"
"c3","created","C3","C3 dermatome"
"c4","created","C4","C4 dermatome"
"c5","created","C5","C5 dermatome"
"c6","created","C6","C6 dermatome"
"c7","created","C7","C7 dermatome"
"c8","created","C8","C8 dermatome"
"t1","created","T1","T1 dermatome"
"t4","created","T4","T4 dermatome"
"t6","created","T6","T6 dermatome"
"t10","created","T10","T10 dermatome"
"l1","created","L1","L1 dermatome"
"l2","created","L2","L2 dermatome"
"l3","created","L3","L3 dermatome"
"l4","created","L4","L4 dermatome"
"l5","created","L5","L5 dermatome"
"s1","created","S1","S1 dermatome"
"s2","created","S2","S2 dermatome"
