"id","status","name","bodyArea","triggerpoints_before","triggerpoints_after","sourcePage"
"orbicularis-oculi","created","Musculus orbicularis oculi","Kopf / Gesicht","0","0","33"
"orbicularis-oris","created","Musculus orbicularis oris","Kopf / Gesicht","0","0","157"
"zygomaticus-major","created","Musculus zygomaticus major","Kopf / Gesicht","0","0","33"
"zygomaticus-minor","created","Musculus zygomaticus minor","Kopf / Gesicht","0","0","408"
"buccinator","created","Musculus buccinator","Kopf / Gesicht","0","0","34"
"longus-capitis","created","Musculus longus capitis","Hals","0","0","247"
"longus-colli","created","Musculus longus colli","Hals","0","0","35"
"intercostalis-externus","created","Musculus intercostalis externus","Brustkorb","0","0",""
"intercostalis-internus","created","Musculus intercostalis internus","Brustkorb","0","0",""
"diaphragma","created","Diaphragma","Brustkorb / Rumpf","0","0","292"
"serratus-posterior-superior","created","Musculus serratus posterior superior","Rücken / Brustkorb","0","0","31"
"serratus-posterior-inferior","created","Musculus serratus posterior inferior","Rücken / Brustkorb","0","0","47"
"iliocostalis-lumborum","created","Musculus iliocostalis lumborum","Rücken","0","0","47"
"iliocostalis-thoracis","created","Musculus iliocostalis thoracis","Rücken","0","0","38"
"longissimus-thoracis","created","Musculus longissimus thoracis","Rücken","0","0","47"
"spinalis-thoracis","created","Musculus spinalis thoracis","Rücken","0","0","458"
"iliocostalis-cervicis","created","Musculus iliocostalis cervicis","Rücken / Nacken","0","0","46"
"longissimus-cervicis","created","Musculus longissimus cervicis","Rücken / Nacken","0","0","451"
"interspinales","created","Musculi interspinales","Wirbelsäule / Rücken","0","0",""
"intertransversarii","created","Musculi intertransversarii","Wirbelsäule / Rücken","0","0","1164"
"rectus-abdominis","created","Musculus rectus abdominis","Bauch","0","0","46"
"obliquus-externus-abdominis","created","Musculus obliquus externus abdominis","Bauch","0","0","2099"
"obliquus-internus-abdominis","created","Musculus obliquus internus abdominis","Bauch","0","0","2099"
"transversus-abdominis","created","Musculus transversus abdominis","Bauch","0","0","46"
"pyramidalis","created","Musculus pyramidalis","Unterbauch","0","0","46"
"anconeus","created","Musculus anconeus","Ellenbogen / Unterarm","0","0","30"
"pronator-quadratus","created","Musculus pronator quadratus","Unterarm","0","0","120"
"supinator","created","Musculus supinator","Unterarm","0","0","30"
"flexor-carpi-radialis","created","Musculus flexor carpi radialis","Unterarm / Handgelenk","0","0","42"
"flexor-carpi-ulnaris","created","Musculus flexor carpi ulnaris","Unterarm / Handgelenk","0","0","42"
"extensor-carpi-radialis-longus","created","Musculus extensor carpi radialis longus","Unterarm / Handgelenk","0","0","41"
"extensor-carpi-radialis-brevis","created","Musculus extensor carpi radialis brevis","Unterarm / Handgelenk","0","0","42"
"extensor-carpi-ulnaris","created","Musculus extensor carpi ulnaris","Unterarm / Handgelenk","0","0","43"
"palmaris-longus","created","Musculus palmaris longus","Unterarm / Hand","0","0","30"
"flexor-digitorum-superficialis","created","Musculus flexor digitorum superficialis","Unterarm / Hand","0","0","45"
"flexor-digitorum-profundus","created","Musculus flexor digitorum profundus","Unterarm / Hand","0","0","796"
"extensor-digitorum","created","Musculus extensor digitorum","Unterarm / Hand","0","0","30"
"extensor-digiti-minimi","created","Musculus extensor digiti minimi","Unterarm / Hand","0","0","793"
"extensor-indicis","created","Musculus extensor indicis","Unterarm / Hand","0","0","30"
"flexor-pollicis-longus","created","Musculus flexor pollicis longus","Unterarm / Daumen","0","0","43"
"extensor-pollicis-longus","created","Musculus extensor pollicis longus","Unterarm / Daumen","0","0","793"
"extensor-pollicis-brevis","created","Musculus extensor pollicis brevis","Unterarm / Daumen","0","0","738"
"abductor-pollicis-longus","created","Musculus abductor pollicis longus","Unterarm / Daumen","0","0","120"
"abductor-pollicis-brevis","created","Musculus abductor pollicis brevis","Hand / Daumen","0","0","797"
"flexor-pollicis-brevis","created","Musculus flexor pollicis brevis","Hand / Daumen","0","0","868"
"opponens-pollicis","created","Musculus opponens pollicis","Hand / Daumen","0","0","31"
"adductor-pollicis","created","Musculus adductor pollicis","Hand / Daumen","0","0","43"
"abductor-digiti-minimi-manus","created","Musculus abductor digiti minimi (manus)","Hand","0","0","31"
"flexor-digiti-minimi-brevis-manus","created","Musculus flexor digiti minimi brevis (manus)","Hand","0","0","887"
"opponens-digiti-minimi","created","Musculus opponens digiti minimi","Hand","0","0","910"
"lumbricales-manus","created","Musculi lumbricales manus","Hand","0","0",""
"interossei-dorsales-manus","created","Musculi interossei dorsales manus","Hand","0","0",""
"interossei-palmares","created","Musculi interossei palmares","Hand","0","0",""
"psoas-major","created","Musculus psoas major","Hüfte / Becken","0","0","31"
"psoas-minor","created","Musculus psoas minor","Hüfte / Becken","0","0","31"
"iliacus","created","Musculus iliacus","Hüfte / Becken","0","0","31"
"obturatorius-internus","created","Musculus obturatorius internus","Becken / Hüfte","0","0",""
"obturatorius-externus","created","Musculus obturatorius externus","Becken / Hüfte","0","0",""
"gemellus-superior","created","Musculus gemellus superior","Gesäß / Hüfte","0","0","1330"
"gemellus-inferior","created","Musculus gemellus inferior","Gesäß / Hüfte","0","0","1361"
"quadratus-femoris","created","Musculus quadratus femoris","Gesäß / Hüfte","0","0","31"
"sartorius","created","Musculus sartorius","Oberschenkel","0","0","25"
"rectus-femoris","created","Musculus rectus femoris","Oberschenkel","0","0","51"
"vastus-lateralis","created","Musculus vastus lateralis","Oberschenkel","0","0","51"
"vastus-medialis","created","Musculus vastus medialis","Oberschenkel","0","0","51"
"adductor-longus","created","Musculus adductor longus","Oberschenkel","0","0","31"
"adductor-brevis","created","Musculus adductor brevis","Oberschenkel","0","0","31"
"adductor-magnus","created","Musculus adductor magnus","Oberschenkel","0","0","31"
"gracilis","created","Musculus gracilis","Oberschenkel","0","0","31"
"biceps-femoris","created","Musculus biceps femoris","Oberschenkel","0","0","52"
"semitendinosus","created","Musculus semitendinosus","Oberschenkel","0","0","51"
"semimembranosus","created","Musculus semimembranosus","Oberschenkel","0","0","52"
"articularis-genus","created","Musculus articularis genus","Oberschenkel / Knie","0","0",""
"pectineus","created","Musculus pectineus","Hüfte / Oberschenkel","0","0","25"
"tibialis-anterior","created","Musculus tibialis anterior","Unterschenkel","0","0","32"
"extensor-hallucis-longus","created","Musculus extensor hallucis longus","Unterschenkel / Fuß","0","0","54"
"extensor-digitorum-longus","created","Musculus extensor digitorum longus","Unterschenkel / Fuß","0","0","54"
"fibularis-tertius","created","Musculus fibularis tertius","Unterschenkel / Fuß","0","0","54"
"fibularis-longus","created","Musculus fibularis longus","Unterschenkel / Fuß","0","0","32"
"fibularis-brevis","created","Musculus fibularis brevis","Unterschenkel / Fuß","0","0","55"
"tibialis-posterior","created","Musculus tibialis posterior","Unterschenkel / Fuß","0","0","32"
"flexor-digitorum-longus","created","Musculus flexor digitorum longus","Unterschenkel / Fuß","0","0","55"
