nr,deutsch,latein,region,status,confidence,matchId,matchName,triggerpoints
"1","Stirnmuskel","Musculus frontalis","Kopf / Gesicht","vorhanden","hoch","occipitofrontalis","M. occipitofrontalis","2"
"2","Hinterhauptmuskel","Musculus occipitalis","Kopf","vorhanden","hoch","occipitofrontalis","M. occipitofrontalis","2"
"3","Augenringmuskel","Musculus orbicularis oculi","Kopf / Gesicht","fehlt","niedrig","","",""
"4","Mundringmuskel","Musculus orbicularis oris","Kopf / Gesicht","fehlt","niedrig","","",""
"5","Großer Jochbeinmuskel","Musculus zygomaticus major","Kopf / Gesicht","fehlt","niedrig","","",""
"6","Kleiner Jochbeinmuskel","Musculus zygomaticus minor","Kopf / Gesicht","fehlt","niedrig","","",""
"7","Wangenmuskel","Musculus buccinator","Kopf / Gesicht","fehlt","niedrig","","",""
"8","Kaumuskel","Musculus masseter","Kopf / Kiefer","vorhanden","hoch","masseter","M. masseter","3"
"9","Schläfenmuskel","Musculus temporalis","Kopf / Kiefer","vorhanden","hoch","temporalis","M. temporalis","3"
"10","Innerer Flügelmuskel","Musculus pterygoideus medialis","Kopf / Kiefer","vorhanden","hoch","medial-pterygoid","M. medial pterygoid","2"
"11","Äußerer Flügelmuskel","Musculus pterygoideus lateralis","Kopf / Kiefer","vorhanden","hoch","lateral-pterygoid","M. lateral pterygoid","1"
"12","Kopfwender","Musculus sternocleidomastoideus","Hals","vorhanden","hoch","sternocleidomastoid","SCM","2"
"13","Vorderer Treppenmuskel","Musculus scalenus anterior","Hals","vorhanden","hoch","scalene-anterior","M. scalene anterior","1"
"14","Mittlerer Treppenmuskel","Musculus scalenus medius","Hals","vorhanden","hoch","scalene-medius","M. scalene medius","1"
"15","Hinterer Treppenmuskel","Musculus scalenus posterior","Hals","vorhanden","hoch","scalene-posterior","M. scalene posterior","1"
"16","Langer Kopfmuskel","Musculus longus capitis","Hals","fehlt","niedrig","","",""
"17","Langer Halsmuskel","Musculus longus colli","Hals","fehlt","niedrig","","",""
"18","Riemenmuskel des Kopfes","Musculus splenius capitis","Nacken","vorhanden","hoch","splenius-capitis","M. splenius capitis","3"
"19","Riemenmuskel des Halses","Musculus splenius cervicis","Nacken","vorhanden","hoch","splenius-cervicis","M. splenius cervicis","2"
"20","Halbdornmuskel des Kopfes","Musculus semispinalis capitis","Nacken","vorhanden","hoch","semispinalis-capitis","M. semispinalis capitis","3"
"21","Kapuzenmuskel","Musculus trapezius","Nacken / Schulter / Rücken","vorhanden","hoch","upper-trapezius","M. trapezius pars descendens","2"
"22","Schulterblattheber","Musculus levator scapulae","Schulter / Nacken","vorhanden","hoch","levator-scapulae","M. levator scapulae","2"
"23","Kleiner Rautenmuskel","Musculus rhomboideus minor","Oberer Rücken","vorhanden","hoch","rhomboid-minor","M. rhomboid minor","1"
"24","Großer Rautenmuskel","Musculus rhomboideus major","Oberer Rücken","vorhanden","hoch","rhomboid-major","M. rhomboid major","1"
"25","Großer Brustmuskel","Musculus pectoralis major","Brust","vorhanden","hoch","pectoralis-major","M. pectoralis major","3"
"26","Kleiner Brustmuskel","Musculus pectoralis minor","Brust / Schultergürtel","vorhanden","hoch","pectoralis-minor","M. pectoralis minor","1"
"27","Vorderer Sägemuskel","Musculus serratus anterior","Brustkorb / Schultergürtel","vorhanden","hoch","serratus-anterior","M. serratus anterior","1"
"28","Äußerer Zwischenrippenmuskel","Musculus intercostalis externus","Brustkorb","fehlt","niedrig","","",""
"29","Innerer Zwischenrippenmuskel","Musculus intercostalis internus","Brustkorb","fehlt","niedrig","","",""
"30","Zwerchfell","Diaphragma","Brustkorb / Rumpf","fehlt","niedrig","","",""
"31","Breitester Rückenmuskel","Musculus latissimus dorsi","Rücken","vorhanden","hoch","latissimus-dorsi","M. latissimus dorsi","1"
"32","Oberer hinterer Sägemuskel","Musculus serratus posterior superior","Rücken / Brustkorb","fehlt","niedrig","","",""
"33","Unterer hinterer Sägemuskel","Musculus serratus posterior inferior","Rücken / Brustkorb","fehlt","niedrig","","",""
"34","Darmbein-Rippen-Muskel der Lende","Musculus iliocostalis lumborum","Rücken","fehlt","niedrig","","",""
"35","Darmbein-Rippen-Muskel des Brustkorbs","Musculus iliocostalis thoracis","Rücken","fehlt","niedrig","","",""
"36","Darmbein-Rippen-Muskel des Halses","Musculus iliocostalis cervicis","Rücken / Nacken","fehlt","niedrig","","",""
"37","Längster Muskel des Brustkorbs","Musculus longissimus thoracis","Rücken","fehlt","niedrig","","",""
"38","Längster Muskel des Halses","Musculus longissimus cervicis","Rücken / Nacken","fehlt","niedrig","","",""
"39","Längster Muskel des Kopfes","Musculus longissimus capitis","Nacken","vorhanden","hoch","longissimus-capitis","M. longissimus capitis","1"
"40","Dornmuskel des Brustkorbs","Musculus spinalis thoracis","Rücken","fehlt","niedrig","","",""
"41","Vielgeteilter Muskel","Musculus multifidus","Wirbelsäule / Rücken","vorhanden","hoch","cervical-multifidus","M. multifidus cervicis","2"
"42","Rotatorenmuskeln","Musculi rotatores","Wirbelsäule / Rücken","vorhanden","hoch","cervical-rotatores","M. rotatores cervicis","2"
"43","Zwischendornmuskeln","Musculi interspinales","Wirbelsäule / Rücken","fehlt","niedrig","","",""
"44","Zwischenquerfortsatzmuskeln","Musculi intertransversarii","Wirbelsäule / Rücken","fehlt","niedrig","","",""
"45","Gerader Bauchmuskel","Musculus rectus abdominis","Bauch","fehlt","niedrig","","",""
"46","Äußerer schräger Bauchmuskel","Musculus obliquus externus abdominis","Bauch","fehlt","niedrig","","",""
"47","Innerer schräger Bauchmuskel","Musculus obliquus internus abdominis","Bauch","fehlt","niedrig","","",""
"48","Querer Bauchmuskel","Musculus transversus abdominis","Bauch","fehlt","niedrig","","",""
"49","Quadratischer Lendenmuskel","Musculus quadratus lumborum","Unterer Rücken / Bauch","vorhanden","hoch","quadratus-lumborum","M. quadratus lumborum","1"
"50","Pyramidenmuskel","Musculus pyramidalis","Unterbauch","fehlt","niedrig","","",""
"51","Deltamuskel","Musculus deltoideus","Schulter","vorhanden","hoch","deltoid","M. deltoid","3"
"52","Obergrätenmuskel","Musculus supraspinatus","Schulter","vorhanden","hoch","supraspinatus","M. supraspinatus","1"
"53","Untergrätenmuskel","Musculus infraspinatus","Schulter","vorhanden","hoch","infraspinatus","M. infraspinatus","1"
"54","Kleiner Rundmuskel","Musculus teres minor","Schulter","vorhanden","hoch","teres-minor","M. teres minor","1"
"55","Großer Rundmuskel","Musculus teres major","Schulter / Rücken","vorhanden","hoch","teres-major","M. teres major","1"
"56","Unterschulterblattmuskel","Musculus subscapularis","Schulter","vorhanden","hoch","subscapularis","M. subscapularis","1"
"57","Zweiköpfiger Oberarmmuskel","Musculus biceps brachii","Oberarm","vorhanden","hoch","biceps-brachii","M. biceps brachii","1"
"58","Oberarmmuskel","Musculus brachialis","Oberarm","vorhanden","hoch","brachialis","M. brachialis","1"
"59","Rabenschnabel-Oberarm-Muskel","Musculus coracobrachialis","Oberarm / Schulter","vorhanden","hoch","coracobrachialis","M. coracobrachialis","1"
"60","Dreiköpfiger Oberarmmuskel","Musculus triceps brachii","Oberarm","vorhanden","hoch","triceps-brachii","M. triceps brachii","2"
"61","Ellenbogenmuskel","Musculus anconeus","Ellenbogen / Unterarm","fehlt","niedrig","","",""
"62","Oberarmspeichenmuskel","Musculus brachioradialis","Unterarm","vorhanden","hoch","brachioradialis","M. brachioradialis","1"
"63","Runder Einwärtsdreher","Musculus pronator teres","Unterarm","vorhanden","hoch","pronator-teres","M. pronator teres","1"
"64","Quadratischer Einwärtsdreher","Musculus pronator quadratus","Unterarm","fehlt","niedrig","","",""
"65","Auswärtsdreher","Musculus supinator","Unterarm","fehlt","niedrig","","",""
"66","Speichenseitiger Handbeuger","Musculus flexor carpi radialis","Unterarm / Handgelenk","fehlt","niedrig","","",""
"67","Ellenseitiger Handbeuger","Musculus flexor carpi ulnaris","Unterarm / Handgelenk","fehlt","niedrig","","",""
"68","Langer Hohlhandmuskel","Musculus palmaris longus","Unterarm / Hand","fehlt","niedrig","","",""
"69","Oberflächlicher Fingerbeuger","Musculus flexor digitorum superficialis","Unterarm / Hand","fehlt","niedrig","","",""
"70","Tiefer Fingerbeuger","Musculus flexor digitorum profundus","Unterarm / Hand","fehlt","niedrig","","",""
"71","Langer Daumenbeuger","Musculus flexor pollicis longus","Unterarm / Daumen","fehlt","niedrig","","",""
"72","Langer speichenseitiger Handstrecker","Musculus extensor carpi radialis longus","Unterarm / Handgelenk","fehlt","niedrig","","",""
"73","Kurzer speichenseitiger Handstrecker","Musculus extensor carpi radialis brevis","Unterarm / Handgelenk","fehlt","niedrig","","",""
"74","Ellenseitiger Handstrecker","Musculus extensor carpi ulnaris","Unterarm / Handgelenk","fehlt","niedrig","","",""
"75","Fingerstrecker","Musculus extensor digitorum","Unterarm / Hand","fehlt","niedrig","","",""
"76","Kleinfingerstrecker","Musculus extensor digiti minimi","Unterarm / Hand","fehlt","niedrig","","",""
"77","Zeigefingerstrecker","Musculus extensor indicis","Unterarm / Hand","fehlt","niedrig","","",""
"78","Langer Daumenstrecker","Musculus extensor pollicis longus","Unterarm / Daumen","fehlt","niedrig","","",""
"79","Kurzer Daumenstrecker","Musculus extensor pollicis brevis","Unterarm / Daumen","fehlt","niedrig","","",""
"80","Langer Daumenabspreizer","Musculus abductor pollicis longus","Unterarm / Daumen","fehlt","niedrig","","",""
"81","Kurzer Daumenabspreizer","Musculus abductor pollicis brevis","Hand / Daumen","fehlt","niedrig","","",""
"82","Kurzer Daumenbeuger","Musculus flexor pollicis brevis","Hand / Daumen","fehlt","niedrig","","",""
"83","Daumengegensteller","Musculus opponens pollicis","Hand / Daumen","fehlt","niedrig","","",""
"84","Daumenanzieher","Musculus adductor pollicis","Hand / Daumen","fehlt","niedrig","","",""
"85","Kleinfingerabspreizer","Musculus abductor digiti minimi (manus)","Hand","fehlt","niedrig","","",""
"86","Kurzer Kleinfingerbeuger","Musculus flexor digiti minimi brevis (manus)","Hand","fehlt","niedrig","","",""
