"id","status","segments","movement","name"
"c4","created","C4","scapular elevation","C4 myotome"
"c5","created","C5","shoulder abduction / elbow flexion","C5 myotome"
"c6","created","C6","wrist extension / supination","C6 myotome"
"c7","created","C7","elbow extension / wrist flexion-pronation","C7 myotome"
"c8","created","C8","finger flexion / interossei","C8 myotome"
"l2","created","L2","hip flexion","L2 myotome"
"l3","created","L3","knee extension","L3 myotome"
"l4","created","L4","ankle dorsiflexion","L4 myotome"
"l5","created","L5","great toe extension / foot clearance","L5 myotome"
"s1","created","S1","plantarflexion","S1 myotome"
