sourceFile,sourcePage,detectedSection,reviewStatus,reason,textSignals
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\1-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0012.pdf,0012,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","University of St. Augustine for Health Sciences | Miami, Florida | Jeffrey Gervais Ebert, PT, DPT | Board-Certified Clinical Specialist in Orthopaedic Physical Therapy | Clinical Assistant Professor"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\10-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0020.pdf,0020,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Foreword | The publication of Travell & Simons’ first volume of Myofascial Pain and Dysfunction: The | Trigger Point Manual, in 1982, followed 10 years later by the second volume, and in 1999 | the second edition of volume one, created a revolution in the understanding and | management of musculoskeletal pain, but also caused an eruption of critical comments of"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\11-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0011.pdf,0011,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Derek Clewley, PT, DPT, PhD | Board-Certified Clinical Specialist in Orthopaedic Physical Therapists | Fellow of the American Academy of Orthopaedic Manual Physical Therapists | Assistant Professor | Doctor of Physical Therapy Division, Duke University School of Medicine"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\12-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0017.pdf,0017,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Instructor, DPT Program | University of St. Augustine for Health Sciences | Miami, Florida | Susan H. Rightnour, PT, MTC | Certified Cranio-Facial Specialty"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\13-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0015.pdf,0015,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Atlanta, Georgia | Sophia Maines, PT, DPT, CSCS | Board-Certified Clinical Specialist in Orthopaedic Physical Therapy | Owner, Sun Physical Therapy | Austin, Texas"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\14-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0019.pdf,0019,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Board-Certified Specialist in Pain Medicine | President, The International Federation of Musculoskeletal Medicine | Director, The Institute for Pain Medicine and the Rambam School for Pain Medicine | Rambam Health Care Campus, the Bruce Rappaport Faculty of Medicine | Technion–Israel Institute for Technology"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\2-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0016.pdf,0016,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Board-Certified in Pain Medicine and Family Medicine | Institute for Pain Medicine, Rambam Health Care Campus | Bruce Rappaport Faculty of Medicine, Technion | Haifa, Israel | Department of Family Medicine, Clalit Health Services"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\3-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0008.pdf,0008,unknown,skip,Keine ausreichenden Signale fuer einen App-Datensatz erkannt.,"publisher for any injury and/or damage to persons or property, as a matter of products liability, negligence law or | otherwise, or from any reference to or use by any person of this work. | LWW.com | 8"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\4-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0010.pdf,0010,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Contributors | Ingrid Allstrom Anderson, PT, DPT | Board-Certified Clinical Specialist in Orthopaedic Physical Therapy | Principal, Intown Physical Therapy, LLC | Atlanta, Georgia"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\5-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0018.pdf,0018,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Miami, Florida | Leslie F. Taylor, PT, PhD, MS | Associate Dean and Professor | Department of Physical Therapy | College of Health Professions, Mercer University"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\6-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0014.pdf,0014,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Dhinu J. Jayaseelan, DPT | Board-Certified Clinical Specialist in Orthopaedic Physical Therapy | Fellow of the American Academy of Orthopaedic Manual Physical Therapists | Assistant Professor | Program in Physical Therapy, School of Medicine and Health Sciences, The George"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\7-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0009.pdf,0009,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","To | David G. Simons (June 7, 1922-April 5, 2010) | and | Lois S. Simons (March 6, 1934-July 3, 2004), whose guiding spirits are ever with us. | This third edition of The Trigger Point Manual has been a labor of love and is dedicated to"
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\8-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0007.pdf,0007,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.",Acquisitions Editor: Michael Nobel | Product Development Editor: Amy Millholen | Editorial Coordinator: John Larkin | Marketing Manager: Shauna Kelley | Production Project Manager: David Saltzberg
C:\Users\kj\.codex\codex-remote-attachments\01a0004f-cde6-76b2-b25a-95e97b3e6b24\94DB34E2-6664-4D98-8AE4-CAB263CDD6A8\9-Myofascial-Pain-and-Dysfunction-The-Trigger-Point-Manual-by-Janet-G.-Travell-David-Simons-3rd-Edition_page_0013.pdf,0013,frontmatter,skip,"Vorwort/Copyright/Mitwirkende, keine importierbaren Muskel- oder Triggerpunktdaten.","Fit Core Physical Therapy | Adjunct Clinical Assistant Professor | Department of Physical Therapy | College of Health Professions, Mercer University | Lab Instructor"
