"muscleId","triggerpointId","status","muscleExists","pointsBefore","pointsAfter","label","sourcePage"
"iliocostalis-lumborum","tp-iliocostalis-lumborum-1","created","yes","0","1","lumbar","1300"
"longissimus-thoracis","tp-longissimus-thoracis-1","created","yes","0","1","thoracolumbar","1300"
"rectus-abdominis","tp-rectus-abdominis-1","created","yes","0","1","upper","1300"
"psoas-major","tp-psoas-major-1","created","yes","0","1","deep lumbar","1377"
"sartorius","tp-sartorius-1","created","yes","0","1","proximal","1507"
"rectus-femoris","tp-rectus-femoris-1","created","yes","0","1","proximal","1405"
"vastus-lateralis","tp-vastus-lateralis-1","created","yes","0","1","proximal","1415"
"vastus-medialis","tp-vastus-medialis-1","created","yes","0","1","distal","1415"
"biceps-femoris","tp-biceps-femoris-long-head-1","created","yes","0","1","proximal","1462"
"biceps-femoris","tp-biceps-femoris-short-head-1","created","yes","1","2","distal","1462"
"semitendinosus","tp-semitendinosus-1","created","yes","0","1","proximal","1462"
"semimembranosus","tp-semimembranosus-1","created","yes","0","1","proximal","1462"
"tibialis-anterior","tp-tibialis-anterior-1","created","yes","0","1","upper third","1529"
"extensor-hallucis-longus","tp-extensor-hallucis-longus-1","created","yes","0","1","proximal","1639"
"extensor-digitorum-longus","tp-extensor-digitorum-longus-1","created","yes","0","1","proximal","1639"
"fibularis-tertius","tp-fibularis-tertius-1","created","yes","0","1","distal","1558"
"fibularis-longus","tp-fibularis-longus-1","created","yes","0","1","proximal","1557"
"fibularis-brevis","tp-fibularis-brevis-1","created","yes","0","1","midportion","1557"
"tibialis-posterior","tp-tibialis-posterior-1","created","yes","0","1","deep posterior","1618"
"flexor-digitorum-longus","tp-flexor-digitorum-longus-1","created","yes","0","1","deep posterior","1656"
"flexor-hallucis-longus","tp-flexor-hallucis-longus-1","created","yes","0","1","deep posterior","1656"
"gastrocnemius","tp-gastrocnemius-medial-head-1","created","yes","0","1","medial head","1606"
"gastrocnemius","tp-gastrocnemius-lateral-head-1","created","yes","1","2","lateral head","1606"
"soleus","tp-soleus-1","created","yes","0","1","proximal medial","1606"
"plantaris","tp-plantaris-1","created","yes","0","1","proximal","1610"
"popliteus","tp-popliteus-1","created","yes","0","1","medial distal","1479"
"extensor-digitorum-brevis","tp-extensor-digitorum-brevis-1","created","yes","0","1","dorsal foot","1686"
"extensor-hallucis-brevis","tp-extensor-hallucis-brevis-1","created","yes","0","1","dorsal great toe","1686"
"abductor-hallucis","tp-abductor-hallucis-1","created","yes","0","1","medial arch","1688"
"flexor-digitorum-brevis","tp-flexor-digitorum-brevis-1","created","yes","0","1","medial plantar","1688"
"quadratus-plantae","tp-quadratus-plantae-1","created","yes","0","1","midsole","1689"
"lumbricales-pedis","tp-lumbricals-foot-1","created","yes","0","1","central forefoot","1689"
"flexor-hallucis-brevis","tp-flexor-hallucis-brevis-1","created","yes","0","1","great toe","1690"
"adductor-hallucis","tp-adductor-hallucis-1","created","yes","0","1","forefoot","1690"
"interossei-dorsales-pedis","tp-dorsal-interossei-foot-1","created","yes","0","1","intermetatarsal","1690"
"interossei-plantares","tp-plantar-interossei-foot-1","created","yes","0","1","intermetatarsal","1690"
